current_model_size,mean_confidence,bottom_window_confidence,tail_confidence,least_grouped_confidence,target_class
32,9.168,7.932219774,11.22385449,7.609,0
32,8.409,6.629416992,10.24720117,6.288,0
32,9.689,8.112490786,11.79986133,6.977,0
32,8.587,8.22305535,8.756041016,6.343,1
32,8.146,6.554334778,10.63811377,5.988,1
32,10.447,10.44670764,10.44670764,7.938,1
32,9.207,7.757329819,10.33080225,6.884,1
32,9.521,9.093573495,9.832543945,7.926,1
32,9.137,8.009567817,9.107375488,7.553,0
32,9.448,8.17560183,10.5121001,6.802,0
32,7.713,7.71309728,7.71309728,6.31,1
32,9.883,8.979590893,9.701672852,8.227,0
32,10.126,9.277004277,9.92307959,8.836,0
32,9.908,9.684681689,9.955773438,8.768,0
32,9.234,7.387497412,11.15389844,6.436,0
32,8.69,6.157239273,10.38614941,5.812,0
32,9.747,9.343316273,10.02456885,8.151,0
32,9.617,9.534330676,9.723121094,8.98,0
32,8.042,6.825755071,9.994003418,5.814,0
32,8.579,6.954179115,11.38657373,5.954,0
32,7.766,6.580493572,9.625184082,6.299,0
32,7.392,6.344556887,8.845153809,5.638,0
32,10.635,10.32981884,11.14507764,9.586,0
32,6.796,6.16809069,6.461414551,5.83,0
32,7.979,6.197908463,6.678727539,5.845,0
32,7.465,6.138063903,8.791536133,5.613,0
32,7.479,6.134811579,9.79864209,5.893,0
32,8.649,7.91549222,9.307743164,7.369,0
32,8.339,7.061005431,8.84333252,6.544,0
32,8.854,8.422756742,8.579537109,7.92,0
32,10.54,9.063110535,12.56407715,8.684,0
32,8.916,7.557352966,10.68589014,7.112,0
32,8.089,7.411941622,7.96990625,6.462,0
32,9.921,9.160786913,10.277729,8.131,0
32,8.025,6.11343816,9.180683594,5.434,1
32,8.303,6.439164664,12.16627686,5.97,0
32,7.523,6.162901341,9.626104004,5.966,1
32,6.615,5.897143053,7.898412598,5.37,0
32,8.699,7.490673818,9.430341797,6.816,1
32,6.891,5.591076947,8.916177246,4.913,0
32,6.754,5.647460226,8.979414063,5.113,0
32,6.14,5.56325193,7.667260742,5.306,0
